lon,lat,alt,distr
-110.4720147,28.1044065,190,curr
-110.2921767,28.7098341,433,curr
-110.1341178,28.90234828,517,curr
-110.0034661,28.87157221,614,curr
-109.6056395,27.65957148,277,curr
-109.505707,28.08932793,476,curr
-109.46693,28.98423556,765,curr
-109.4144734,28.46534511,792,curr
-109.3668936,31.96734568,1701,curr
-109.205268,31.38803862,1233,curr
-109.1870729,29.85180627,968,curr
-109.1464987,30.21138521,1606,curr
-109.137364,28.90616032,662,curr
-109.1297378,30.61122444,1912,curr
-109.0981843,30.8015133,915,curr
-109.0549684,29.32034364,899,curr
-109.0223165,30.52449555,1407,curr
-108.9271436,30.40953533,1003,curr
-108.813618,28.25934688,2080,curr
-108.81197,28.12542035,905,curr
-108.7950485,30.5982088,1727,curr
-108.7610819,29.38480075,941,curr
-108.7349277,27.77845511,676,curr
-108.7232408,27.55283643,1655,curr
-108.6284407,30.35568124,2161,curr
-108.5940727,26.73130829,335,curr
-108.5861342,28.16974857,1782,curr
-108.5257015,26.79896074,266,curr
-108.5000182,28.49717892,1789,curr
-108.4990673,30.18717291,2038,curr
-108.494531,25.99266507,120,curr
-108.4305923,27.8015908,1549,curr
-108.3982386,27.61876005,856,curr
-108.359369,28.39810197,1892,curr
-108.3505417,27.08938025,1320,curr
-108.3484029,27.8898436,1491,curr
-108.3348359,28.18372523,2450,curr
-108.3162725,30.54906533,1724,curr
-108.2761479,29.87736478,2373,curr
-108.2412339,29.97445388,2260,curr
-108.2051712,29.88103126,2575,curr
-108.1217957,27.48274375,1608,curr
-108.0401112,26.50619391,1537,curr
-108.0178709,27.92848047,2129,curr
-107.9604809,29.88339501,1874,curr
-107.9053591,27.7296127,2269,curr
-107.8517584,29.18046285,2197,curr
-107.7627366,26.58494201,2113,curr
-107.7018907,28.25306739,2625,curr
-107.6758859,27.21795463,1927,curr
-107.6119188,26.31805169,1161,curr
-107.4683595,27.56649579,2480,curr
-107.4413337,25.1424417,212,curr
-107.4007032,26.22893836,1405,curr
-107.395521,25.70172,1278,curr
-107.383062,25.03049561,91,curr
-107.3234531,28.47023737,2072,curr
-107.3049661,27.52823486,2313,curr
-107.2988068,27.80151838,2188,curr
